Purchase Order #,Distribution Center ID,Distribution Center,Date Marked as Shipped,Amount Paid to Vendor,invoice number
9870830849587,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8087264-01
9870855735063,620962,K And N Engineering Inc - Riverside CA,20220326,7.28,8089512-01
8870829706753,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8086801-01
9870830307975,620962,K And N Engineering Inc - Riverside CA,20220326,6.6,8087054-01
8870829503787,620962,K And N Engineering Inc - Riverside CA,20220326,56.33,8086555-01
8870828051437,620962,K And N Engineering Inc - Riverside CA,20220326,5.78,8085849-01
8870802931733,620962,K And N Engineering Inc - Riverside CA,20220326,11.7,8083579-01
8870816284730,620962,K And N Engineering Inc - Riverside CA,20220326,29.78,8084797-01
9870831566552,620962,K And N Engineering Inc - Riverside CA,20220326,3.23,8087578-01
9870830771133,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8087226-01
8870803520281,620962,K And N Engineering Inc - Riverside CA,20220326,39.82,8083678-01
9870830394110,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8087011-01
8870803871536,620962,K And N Engineering Inc - Riverside CA,20220326,289.52,8083742-01
8870803294719,620962,K And N Engineering Inc - Riverside CA,20220326,25.59,8083650-01
9870831577529,620962,K And N Engineering Inc - Riverside CA,20220326,183.83,8087596-01
9870830141258,620962,K And N Engineering Inc - Riverside CA,20220326,32.43,8086949-01
8870839696665,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8087736-01
9870844157319,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8088818-01
8870803179240,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8084221-01
9870830895429,620962,K And N Engineering Inc - Riverside CA,20220326,7.8,8087274-01
9870842529399,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8088097-01
8870827906788,620962,K And N Engineering Inc - Riverside CA,20220326,5.01,8085736-01
8870817639038,620962,K And N Engineering Inc - Riverside CA,20220326,14.04,8085512-01
9870842460700,620962,K And N Engineering Inc - Riverside CA,20220326,73.53,8088035-01
9870844211902,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8088910-01
8870816840873,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8085070-01
9870830362082,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8086991-01
8870804618800,620962,K And N Engineering Inc - Riverside CA,20220326,32.49,8083992-01
8870817787570,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8085735-01
8870791161712,620962,K And N Engineering Inc - Riverside CA,20220326,9.7,8082884-01
9870854325713,620962,K And N Engineering Inc - Riverside CA,20220326,17.37,8088979-01
9870842814221,620962,K And N Engineering Inc - Riverside CA,20220326,5.04,8088169-01
8870805361411,620962,K And N Engineering Inc - Riverside CA,20220326,7.8,8084261-01
8870790971267,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8083220-01
8870804641030,620962,K And N Engineering Inc - Riverside CA,20220326,5.39,8083999-01
9870843950630,620962,K And N Engineering Inc - Riverside CA,20220326,20.2,8088667-01
9870844021362,620962,K And N Engineering Inc - Riverside CA,20220326,123.5,8088761-01
7870765822613,620962,K And N Engineering Inc - Riverside CA,20220326,5.39,8080242-01
9870855397958,620962,K And N Engineering Inc - Riverside CA,20220326,39.78,8089380-01
8870817118679,620962,K And N Engineering Inc - Riverside CA,20220326,15.6,8085237-01
9870830470325,620962,K And N Engineering Inc - Riverside CA,20220326,36.76,8087055-01
9870830332888,620962,K And N Engineering Inc - Riverside CA,20220326,7.51,8087020-01
8870817594625,620962,K And N Engineering Inc - Riverside CA,20220326,2.89,8085489-01
8870828003087,620962,K And N Engineering Inc - Riverside CA,20220326,29.93,8085817-01
8870816122300,620962,K And N Engineering Inc - Riverside CA,20220326,22.97,8084563-01
8870817390085,620962,K And N Engineering Inc - Riverside CA,20220326,7.02,8085349-01
8870792784773,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8083490-01
8870828184532,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8085876-01
8870805466076,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8084237-01
8870791769873,620962,K And N Engineering Inc - Riverside CA,20220326,2.89,8083048-01
8870803194393,620962,K And N Engineering Inc - Riverside CA,20220326,32.73,8083616-01
9870830211584,620962,K And N Engineering Inc - Riverside CA,20220326,21.56,8086977-01
8870791096071,620962,K And N Engineering Inc - Riverside CA,20220326,57.53,8082806-01
8870792080264,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8083174-01
9870843624618,620962,K And N Engineering Inc - Riverside CA,20220326,289.52,8088598-01
8870791883746,620962,K And N Engineering Inc - Riverside CA,20220326,6.32,8083127-01
8870792511497,620962,K And N Engineering Inc - Riverside CA,20220326,8.19,8083407-01
8870803180545,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8084333-01
9870854946567,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8089198-01
8870827091108,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8086306-01
8870829493538,620962,K And N Engineering Inc - Riverside CA,20220326,4,8086543-01
9870831609187,620962,K And N Engineering Inc - Riverside CA,20220326,36.76,8087615-01
8870792237637,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8083280-01
7870766014540,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8080326-01
9870854673612,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8089126-01
9870844338550,620962,K And N Engineering Inc - Riverside CA,20220326,261.95,8088911-01
8870829879812,620962,K And N Engineering Inc - Riverside CA,20220326,31.53,8086830-01
9870840447343,620962,K And N Engineering Inc - Riverside CA,20220326,5.78,8088760-01
9870854234742,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8089116-01
8870791872370,620962,K And N Engineering Inc - Riverside CA,20220326,1.92,8083041-01
8870805169416,620962,K And N Engineering Inc - Riverside CA,20220326,30.63,8084190-01
8870790605697,620962,K And N Engineering Inc - Riverside CA,20220326,32.63,8082687-01
9870854769399,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8089162-01
8870790629394,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8082697-01
8870780401260,620962,K And N Engineering Inc - Riverside CA,20220326,6.55,8082554-01
8870827656991,620962,K And N Engineering Inc - Riverside CA,20220326,7.65,8085930-01
9870844214287,620962,K And N Engineering Inc - Riverside CA,20220326,5.01,8088806-01
8870810881146,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8084340-01
9870843357667,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8088455-01
9870844007194,620962,K And N Engineering Inc - Riverside CA,20220326,5.24,8088732-01
9870844151944,620962,K And N Engineering Inc - Riverside CA,20220326,11.36,8088880-01
8870790493710,620962,K And N Engineering Inc - Riverside CA,20220326,2.14,8082726-01
8870803013592,620962,K And N Engineering Inc - Riverside CA,20220326,3.48,8083609-01
8870816489183,620962,K And N Engineering Inc - Riverside CA,20220326,14.99,8084900-01
8870829653622,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8086652-01
8870828410764,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8085949-01
9870843544051,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8088457-01
8870805329735,620962,K And N Engineering Inc - Riverside CA,20220326,39.2,8084254-01
8870816592168,620962,K And N Engineering Inc - Riverside CA,20220326,9.15,8084902-01
9870844310012,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8088882-01
8870790714556,620962,K And N Engineering Inc - Riverside CA,20220326,39.82,8082690-01
9870855900753,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8089551-01
9870843991574,620962,K And N Engineering Inc - Riverside CA,20220326,39.42,8088748-01
8870803310290,620962,K And N Engineering Inc - Riverside CA,20220326,7.51,8083647-01
9870844232649,620962,K And N Engineering Inc - Riverside CA,20220326,32.99,8088819-01
8870816325758,620962,K And N Engineering Inc - Riverside CA,20220326,73.53,8084823-01
9870844273574,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8088932-01
8870828382937,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8085937-01
7870776353317,620962,K And N Engineering Inc - Riverside CA,20220326,6.71,8080602-01
8870791309242,620962,K And N Engineering Inc - Riverside CA,20220326,12.76,8082916-01
7870766089766,620962,K And N Engineering Inc - Riverside CA,20220326,46.89,8080489-01
9870856206423,620962,K And N Engineering Inc - Riverside CA,20220326,6.93,8089671-01
9870844180009,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8088783-01
9870856117498,620962,K And N Engineering Inc - Riverside CA,20220326,31.53,8089659-01
8870828664077,620962,K And N Engineering Inc - Riverside CA,20220326,252.3,8086815-01
7870788673463,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8081736-01
8870828845349,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8086193-01
9870843948826,620962,K And N Engineering Inc - Riverside CA,20220326,5.01,8088666-01
8870828128584,620962,K And N Engineering Inc - Riverside CA,20220326,2.89,8085850-01
8870803035455,620962,K And N Engineering Inc - Riverside CA,20220326,36.76,8083595-01
9870831803069,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8087720-01
8870814142116,620962,K And N Engineering Inc - Riverside CA,20220326,2.8,8084556-01
7870764444450,620962,K And N Engineering Inc - Riverside CA,20220326,6.93,8079569-01
8870825681565,620962,K And N Engineering Inc - Riverside CA,20220326,10.72,8085875-01
8870829678349,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8086571-01
7870777347916,620962,K And N Engineering Inc - Riverside CA,20220326,8.6,8081060-01
8870804145911,620962,K And N Engineering Inc - Riverside CA,20220326,4.04,8083978-01
8870816167698,620962,K And N Engineering Inc - Riverside CA,20220326,36.76,8084786-01
9870831693487,620962,K And N Engineering Inc - Riverside CA,20220326,31.53,8087676-01
8870815888582,620962,K And N Engineering Inc - Riverside CA,20220326,31.53,8084470-01
9870831523004,620962,K And N Engineering Inc - Riverside CA,20220326,24.45,8087577-01
